site,ppt,tmx,mleafsize,mSLA,mLDMC,mAl_As
H,1221.930018,23.58504164,10.69323693,82.14486749,0.436765735,35.07274513
H,1221.930018,23.58504164,6.586722222,81.3841101,0.490434174,22.32492438
H,1221.930018,23.58504164,5.9955,81.55190484,0.416508087,23.2513529
H,1221.930018,23.58504164,7.15003729,75.81043958,0.482263883,24.89236639
H,1221.930018,23.58504164,8.256623932,77.26333215,0.420227359,26.67133412
H,1014.252515,21.16574999,4.829510101,68.45683572,0.50435789,18.71002775
H,1014.252515,21.16574999,10.24107143,77.58193785,0.433502701,27.82214681
H,1014.252515,21.16574999,2.836667521,92.37290535,0.453655515,18.00569571
H,1014.252515,21.16574999,4.158188687,94.01036603,0.411210327,13.72322839
H,1014.252515,21.16574999,6.358039683,78.98398105,0.421201678,22.98649787
H,836.5575125,22.18125002,7.004761905,86.58710499,0.408157223,33.00358576
H,836.5575125,22.18125002,3.168691619,72.96359424,0.490442064,17.41373324
H,836.5575125,22.18125002,5.821511111,85.61552548,0.447812457,20.37732682
H,836.5575125,22.18125002,7.582201389,89.09345969,0.451981029,28.15072614
H,454.6725068,23.48758337,5.115740741,86.65022719,0.454599742,27.12185033
H,454.6725068,23.48758337,5.83807619,92.43529689,0.439491895,30.20655472
H,454.6725068,23.48758337,4.905874218,74.41227985,0.424227607,18.12840046
H,454.6725068,23.48758337,6.232307407,77.62735548,0.460985517,20.94178306
H,454.6725068,23.48758337,5.287193939,82.37423108,0.469668947,20.34522986
H,471.685007,24.51885417,4.594444444,82.01884366,0.463930986,20.35898248
H,471.685007,24.51885417,5.597246349,90.2406657,0.447120595,26.45138448
H,471.685007,24.51885417,4.299603175,87.18736538,0.411446251,16.47195262
H,471.685007,24.51885417,3.299011111,83.38874906,0.408479632,12.95030086
H,471.685007,24.51885417,4.583285573,91.48455634,0.466277942,33.01491644
H,471.685007,24.51885417,4.365413255,84.58415318,0.426798138,20.09890061
H,560.4525084,23.0505417,3.704232804,84.0160792,0.396738532,17.02596437
H,560.4525084,23.0505417,4.525111111,89.6155211,0.426701794,16.19176715
H,560.4525084,23.0505417,3.95,78.22199498,0.419137539,16.62855453
H,560.4525084,23.0505417,3.4284,97.65314667,0.409223658,15.48163576
H,849.1050127,22.08297918,3.840930861,78.28567445,0.441289145,14.61735027
H,849.1050127,22.08297918,4.432442068,71.74868828,0.43594161,17.72173008
H,849.1050127,22.08297918,6.661616162,74.24784896,0.43838425,20.72966159
H,849.1050127,22.08297918,6.092929293,66.35504474,0.423882183,18.46944506
H,849.1050127,22.08297918,6.698578042,78.24031769,0.42489486,21.58752628
H,849.1050127,22.08297918,4.529240476,73.23670804,0.464934072,11.53102204
W,1221.930018,23.58504164,8.047619048,90.68888403,0.423861765,37.44818675
W,1221.930018,23.58504164,12.41541587,92.04335977,0.436294412,25.62753228
W,1221.930018,23.58504164,5.966720118,88.81129325,0.434937252,16.66098425
W,1221.930018,23.58504164,6.454472222,79.27053797,0.433772618,19.06665444
W,1221.930018,23.58504164,4.376461905,83.40638392,0.403766018,17.11168539
W,1221.930018,23.58504164,4.452930556,77.87951995,0.447678008,14.98890704
W,1221.930018,23.58504164,5.321365909,75.94684714,0.417049594,17.43765809
W,1014.252515,21.16574999,7.665138889,77.88665444,0.432501198,24.69230371
W,1014.252515,21.16574999,5.825059524,93.66951705,0.447800579,30.00772034
W,1014.252515,21.16574999,6.820240741,87.63480275,0.415744392,27.92978092
W,1014.252515,21.16574999,5.4209,88.50008566,0.409510147,18.38038242
W,1014.252515,21.16574999,7.284892593,93.20008938,0.381858237,24.14173994
W,1014.252515,21.16574999,4.76020172,89.21935937,0.40366466,26.30047187
W,836.5575125,22.18125002,8.7,80.37936878,0.499495356,36.1895917
W,836.5575125,22.18125002,11.64551347,95.32600773,0.440264444,40.23618967
W,836.5575125,22.18125002,5.680906746,85.81301336,0.491692839,24.98315759
W,836.5575125,22.18125002,7.362097222,91.82754622,0.451269695,29.26584622
W,836.5575125,22.18125002,8.370135714,80.86553642,0.50761723,29.18702236
W,836.5575125,22.18125002,4.931928571,83.94713804,0.414934969,24.90558487
W,836.5575125,22.18125002,5.134212121,91.33695057,0.511532611,28.67796941
W,836.5575125,22.18125002,4.93715303,101.0180932,0.478486144,23.33619325
W,560.4525084,23.0505417,3.388257576,56.59887386,0.463703997,12.55931002
W,560.4525084,23.0505417,4.261458742,75.63633349,0.386305945,23.85254715
W,560.4525084,23.0505417,2.063537708,89.3598056,0.387752619,18.95126924
W,560.4525084,23.0505417,4.909727273,73.16570157,0.468321879,16.74977839
W,849.1050127,22.08297918,7.057549858,59.77354974,0.469657168,13.45472583
W,849.1050127,22.08297918,6.105665349,65.09278748,0.500224754,26.00122359
W,849.1050127,22.08297918,8.137566138,63.38958703,0.475680726,12.15369882
W,849.1050127,22.08297918,5.303418803,61.44752698,0.495068992,25.49989842
W,849.1050127,22.08297918,6.666666667,65.52182676,0.483654989,16.34680443
W,849.1050127,22.08297918,8.779054279,59.08375581,0.492287741,16.43630567
W,849.1050127,22.08297918,7.173076923,58.38783085,0.50039369,16.37787858
W,849.1050127,22.08297918,6.166666667,65.8854657,0.4873357,20.6730594